Delay,Bandwidth with 128 EthPackSize,Bandwidth with 376 EthPackSize,Bandwidth with 512 EthPackSize
1000,84.21,94,0
2000,84.21,94,0
3000,84.21,94,0
4000,84.21,94,0
5000,84.21,94,0
6000,84.21,94,0
7000,84.21,94,0
8000,84.21,94,0
9000,84.21,94,0
10000,84.21,94,0
11000,84.21,94,95.53
12000,80.71,94,95.53
13000,74.73,94,95.53
14000,69.85,94,95.53
15000,65.16,94,95.53
16000,61.34,94,
17000,57.92,94,
18000,54.76,94,
19000,52.08,94,
20000,49.55,94,95.53
30000,33.36,,
40000,25.17,,
50000,20.21,,
60000,16.87,49.4,66.8
70000,14.48,,
80000,12.69,,
90000,11.29,,
100000,10.17,29.77,40.41
110000,9.25,,
120000,8.48,,
130000,7.84,,
140000,7.28,,
150000,6.79,,
160000,6.37,,
170000,6,,
180000,5.67,,
190000,5.37,,
200000,5.1,,
500000,2.05,,
1000000,1.02,3.01,4.09
